0.0,11,0	Moderator	Moderator/EthanBody	Moderator/EthanGlasses	Moderator/EthanSkeleton	Moderator/EthanSkeleton/EthanHips	Moderator/EthanSkeleton/EthanHips/EthanSpine	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanLeftUpLeg	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanLeftUpLeg/EthanLeftLeg	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanLeftUpLeg/EthanLeftLeg/EthanLeftFoot	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanLeftUpLeg/EthanLeftLeg/EthanLeftFoot/EthanLeftToe1	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanRightUpLeg	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanRightUpLeg/EthanRightLeg	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanRightUpLeg/EthanRightLeg/EthanRightFoot	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanRightUpLeg/EthanRightLeg/EthanRightFoot/EthanRightToe1	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanHead	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanLeftShoulder	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanLeftShoulder/EthanLeftArm	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanLeftShoulder/EthanLeftArm/EthanLeftForeArm	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanLeftShoulder/EthanLeftArm/EthanLeftForeArm/EthanLeftHand	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanRightShoulder	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanRightShoulder/EthanRightArm	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanRightShoulder/EthanRightArm/EthanRightForeArm	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanRightShoulder/EthanRightArm/EthanRightForeArm/EthanRightHand
0.115,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.003,0.7855,0.0114,359.5382,88.6359,269.0806,1,1,1	0.0027,0.8305,0.0105,359.5383,88.6362,274.0351,1,1,1	-0.0713,0.7849,0.0096,4.9014,271.6655,89.2857,1,1,1	-0.0763,0.4253,0.0537,3.9352,269.9419,105.4223,1,1,1	-0.0854,0.1034,-0.0374,0.367,253.0292,89.6086,1,1,1	-0.1168,0.0172,0.0674,359.3591,253.0865,353.8805,1,1,1	0.0774,0.7861,0.0131,357.6547,270.9537,88.8138,1,1,1	0.0983,0.4284,0.0533,359.2875,282.5573,106.2749,1,1,1	0.1061,0.1061,-0.037,359.9123,306.1018,90.0703,1,1,1	0.1709,0.0207,0.0521,1.6268,305.9573,350.2981,1,1,1	0.0019,0.9786,-0.0048,359.3903,89.5353,282.4606,1,1,1	0.0004,1.1074,0.0008,358.8054,90.3781,282.0873,1,1,1	-0.0022,1.2362,0.0056,358.8054,90.3781,267.0873,1,1,1	-0.0039,1.3288,0.0421,0.1834,96.752,268.4275,1,1,1	-0.0282,1.2356,0.0059,291.6078,50.3645,130.112,1,1,1	-0.1342,1.1669,-0.0042,289.0179,316.7734,244.6528,1,1,1	-0.1673,0.9261,-0.0427,296.3469,340.8355,232.65,1,1,1	-0.1836,0.7653,-0.0407,17.1867,16.4046,186.0429,1,1,1	0.0238,1.2367,0.0055,68.8463,130.8103,130.5809,1,1,1	0.1291,1.1671,-0.0058,67.1061,216.9488,227.1427,1,1,1	0.1619,0.9344,-0.0789,62.8031,207.6299,227.7935,1,1,1	0.1824,0.7743,-0.0856,337.8083,173.4198,186.0185,1,1,1
0.1742,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0102,0.7855,0.0114,359.4457,88.1016,268.7076,1,1,1	0.0099,0.8305,0.0103,359.4458,88.1019,273.6621,1,1,1	-0.0641,0.7848,0.0089,4.1689,270.6891,89.4957,1,1,1	-0.0744,0.4255,0.0543,3.3609,269.4272,105.4215,1,1,1	-0.0859,0.1038,-0.0369,0.2768,253.0276,89.6044,1,1,1	-0.1175,0.0175,0.0679,359.2714,253.0847,353.8907,1,1,1	0.0846,0.7863,0.0139,357.0615,270.8282,88.7814,1,1,1	0.1017,0.4284,0.0539,358.7028,282.943,106.0085,1,1,1	0.1054,0.1062,-0.0371,359.83,306.1786,90.1146,1,1,1	0.1703,0.0209,0.052,1.5898,306.0276,350.0822,1,1,1	0.009,0.9785,-0.0061,359.5131,88.924,282.4359,1,1,1	0.0078,1.1073,-0.0005,358.931,89.7256,281.9384,1,1,1	0.0053,1.2361,0.004,358.931,89.7256,266.9383,1,1,1	0.0034,1.3288,0.0402,0.3647,97.3793,268.6003,1,1,1	-0.0207,1.2356,0.0039,291.6243,50.2749,129.5226,1,1,1	-0.1267,1.1671,-0.0072,289.0085,315.9499,245.0429,1,1,1	-0.1592,0.9262,-0.0455,296.3881,340.4418,232.7411,1,1,1	-0.1753,0.7654,-0.0437,17.7269,16.105,186.475,1,1,1	0.0314,1.2366,0.0041,69.1266,130.2018,130.6501,1,1,1	0.1365,1.1665,-0.0057,67.0612,217.2333,228.029,1,1,1	0.1688,0.9334,-0.0778,62.9261,208.1538,228.6087,1,1,1	0.1885,0.7731,-0.0837,337.9153,173.0096,187.5273,1,1,1
0.2311,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.017,0.7854,0.0112,359.3255,87.6827,268.423,1,1,1	0.0165,0.8304,0.0098,359.3256,87.6829,273.3775,1,1,1	-0.0573,0.7846,0.0082,3.4533,269.9024,89.7456,1,1,1	-0.0728,0.4257,0.0549,2.7494,269.0412,105.4117,1,1,1	-0.0871,0.1043,-0.0365,0.2277,252.9832,89.5406,1,1,1	-0.1188,0.0179,0.0682,359.2234,253.0414,353.8326,1,1,1	0.0913,0.7863,0.0142,356.4757,270.7534,88.737,1,1,1	0.1047,0.4283,0.054,358.1069,283.329,105.7752,1,1,1	0.1042,0.1063,-0.0376,359.6595,306.2722,90.1965,1,1,1	0.1691,0.0211,0.0517,1.4676,306.1154,349.8873,1,1,1	0.0154,0.9783,-0.0073,359.5816,88.4429,282.519,1,1,1	0.0143,1.1071,-0.0016,359.0245,89.2222,281.9264,1,1,1	0.0121,1.2359,0.0029,359.0245,89.2222,266.9264,1,1,1	0.01,1.3286,0.039,0.4974,98.0577,268.7194,1,1,1	-0.0139,1.2354,0.0026,291.7212,49.9162,129.3297,1,1,1	-0.12,1.1672,-0.0095,289.0814,315.22,245.0153,1,1,1	-0.1517,0.9263,-0.0485,296.4754,339.7,232.6032,1,1,1	-0.168,0.7655,-0.0472,18.1564,15.3298,186.5837,1,1,1	0.0381,1.2363,0.0033,69.2847,129.993,130.9667,1,1,1	0.1431,1.1659,-0.0056,66.9871,217.4965,228.6217,1,1,1	0.1748,0.9326,-0.0772,62.9997,208.4293,229.1731,1,1,1	0.194,0.7722,-0.0826,337.8266,172.3682,188.4808,1,1,1
0.2858,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0228,0.7853,0.0104,359.2018,87.4202,268.2588,1,1,1	0.0222,0.8302,0.0089,359.2019,87.4204,273.2133,1,1,1	-0.0515,0.7842,0.0071,2.8757,269.5479,90.0144,1,1,1	-0.0709,0.4259,0.0554,2.1437,268.9519,105.4035,1,1,1	-0.0885,0.1047,-0.0361,0.141,252.8715,89.4426,1,1,1	-0.1204,0.0181,0.0683,359.1311,252.932,353.702,1,1,1	0.0971,0.7863,0.0138,355.936,270.7736,88.7464,1,1,1	0.1071,0.4282,0.0537,357.5276,283.7053,105.6246,1,1,1	0.1027,0.1062,-0.0379,359.5189,306.3107,90.2823,1,1,1	0.1675,0.0212,0.0516,1.3743,306.1482,349.7022,1,1,1	0.021,0.9781,-0.0086,359.7094,88.1092,282.7078,1,1,1	0.0201,1.1068,-0.0024,359.1181,88.834,282.0217,1,1,1	0.018,1.2357,0.0022,359.1182,88.834,267.0217,1,1,1	0.0159,1.3283,0.0385,0.6383,98.6346,268.7686,1,1,1	-0.008,1.2352,0.0017,291.8846,49.4483,129.3739,1,1,1	-0.1141,1.1672,-0.0113,289.1933,314.9912,244.6242,1,1,1	-0.1455,0.9264,-0.0513,296.6368,339.3199,232.3332,1,1,1	-0.1619,0.7657,-0.0507,18.6659,14.8069,186.5912,1,1,1	0.044,1.236,0.0028,69.3727,130.0907,131.4984,1,1,1	0.1489,1.1653,-0.0055,66.8403,217.6576,228.9636,1,1,1	0.1799,0.9319,-0.0772,62.9888,208.6059,229.5551,1,1,1	0.1987,0.7715,-0.0822,337.6607,171.756,189.2258,1,1,1
0.3517,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0278,0.785,0.0091,359.0867,87.2671,268.2495,1,1,1	0.0272,0.83,0.0076,359.0867,87.2673,273.204,1,1,1	-0.0465,0.7838,0.0056,2.3465,269.2177,90.3418,1,1,1	-0.0695,0.4261,0.0557,1.6197,268.8585,105.4588,1,1,1	-0.0898,0.1051,-0.0355,0.0892,252.8405,89.183,1,1,1	-0.1218,0.018,0.0685,359.0819,252.9053,353.4558,1,1,1	0.1021,0.7862,0.0127,355.4999,271.1168,88.8393,1,1,1	0.1097,0.4281,0.0532,356.9425,284.3519,105.5481,1,1,1	0.1009,0.1061,-0.038,359.4572,306.3589,90.3184,1,1,1	0.1658,0.0212,0.0515,1.3569,306.1894,349.4831,1,1,1	0.0256,0.9779,-0.01,359.8398,87.9099,282.9777,1,1,1	0.025,1.1066,-0.0032,359.2514,88.6185,282.1609,1,1,1	0.0232,1.2354,0.0018,359.2514,88.6185,267.1609,1,1,1	0.0211,1.3279,0.0383,0.7927,99.2074,268.7892,1,1,1	-0.0028,1.235,0.0012,292.0851,49.2034,129.4115,1,1,1	-0.109,1.1673,-0.0124,289.2031,315.1249,243.9811,1,1,1	-0.1407,0.9267,-0.0533,296.6988,339.1282,231.8324,1,1,1	-0.1576,0.766,-0.0533,18.9537,14.0901,186.0556,1,1,1	0.0493,1.2357,0.0025,69.463,130.4766,132.1745,1,1,1	0.1538,1.1646,-0.0055,66.6691,217.8282,229.1244,1,1,1	0.1842,0.9312,-0.0776,62.9489,208.8481,229.7874,1,1,1	0.2027,0.7708,-0.0826,337.4013,171.4095,189.7806,1,1,1
0.4028,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.032,0.7847,0.0072,359.1199,87.1764,268.4187,1,1,1	0.0314,0.8297,0.0058,359.12,87.1767,273.3732,1,1,1	-0.0423,0.7836,0.0035,1.8397,269.0429,90.7257,1,1,1	-0.0686,0.4264,0.0559,1.1027,268.9111,105.6407,1,1,1	-0.092,0.1054,-0.0343,0.0909,252.8852,88.6414,1,1,1	-0.1236,0.0173,0.0689,359.0998,252.9576,353.0026,1,1,1	0.1063,0.7858,0.0109,355.179,271.6777,89.0651,1,1,1	0.1123,0.428,0.0527,356.402,285.1454,105.5107,1,1,1	0.0993,0.1059,-0.0377,359.4512,306.4177,90.2476,1,1,1	0.1642,0.0209,0.0517,1.3945,306.2375,349.1595,1,1,1	0.03,0.9776,-0.0113,359.9406,87.8307,283.3201,1,1,1	0.0295,1.1063,-0.0038,359.3336,88.5414,282.3696,1,1,1	0.0279,1.235,0.0017,359.3336,88.5414,267.3695,1,1,1	0.0259,1.3275,0.0385,0.9004,99.8125,268.8816,1,1,1	0.0019,1.2347,0.0011,292.2721,48.9515,129.6492,1,1,1	-0.1045,1.1672,-0.0128,289.2828,315.478,243.3539,1,1,1	-0.1363,0.9268,-0.0547,296.8026,338.9734,231.4686,1,1,1	-0.1536,0.7661,-0.0553,19.1074,13.5155,185.8767,1,1,1	0.0539,1.2353,0.0024,69.4704,131.0324,132.8942,1,1,1	0.1583,1.1639,-0.0056,66.5064,217.6307,228.8416,1,1,1	0.1886,0.9308,-0.0785,62.8719,208.7704,229.6871,1,1,1	0.2071,0.7704,-0.0838,337.0865,171.1524,190.067,1,1,1
0.4646,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.035,0.7843,0.0053,359.2817,87.0893,268.6315,1,1,1	0.0345,0.8293,0.0041,359.2818,87.0895,273.5861,1,1,1	-0.0392,0.7834,0.0015,1.3107,268.5205,91.1207,1,1,1	-0.0694,0.4269,0.056,0.7234,268.6308,105.9599,1,1,1	-0.0945,0.1056,-0.0326,0.1669,253.0031,87.8941,1,1,1	-0.1255,0.0161,0.0697,359.2134,253.0835,352.4654,1,1,1	0.1093,0.7853,0.0091,354.9426,272.1209,89.3164,1,1,1	0.1143,0.4276,0.0525,355.9923,285.7525,105.4719,1,1,1	0.098,0.1057,-0.0373,359.46,306.4641,90.1403,1,1,1	0.1629,0.0204,0.0518,1.4396,306.2731,348.8402,1,1,1	0.0335,0.9773,-0.0125,359.9672,87.8204,283.6027,1,1,1	0.0331,1.1059,-0.0043,359.3838,88.5976,282.6141,1,1,1	0.0316,1.2347,0.0017,359.3838,88.5976,267.6141,1,1,1	0.0297,1.327,0.0389,0.9673,100.3723,269.0742,1,1,1	0.0056,1.2344,0.0011,292.4446,48.7582,129.9954,1,1,1	-0.1008,1.167,-0.0128,289.391,315.8205,242.8013,1,1,1	-0.1328,0.9268,-0.0557,296.9126,338.9334,231.1625,1,1,1	-0.1503,0.7661,-0.0568,19.3182,13.2622,185.5219,1,1,1	0.0576,1.235,0.0024,69.4282,131.6822,133.5927,1,1,1	0.1618,1.1633,-0.0059,66.3557,217.27,228.2754,1,1,1	0.1923,0.9306,-0.0799,62.7828,208.5979,229.3335,1,1,1	0.211,0.7702,-0.0857,336.6881,171.1266,190.248,1,1,1
0.5287,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0389,0.7838,0.0027,359.6271,86.9278,268.8254,1,1,1	0.0387,0.8287,0.0017,359.6272,86.928,273.7799,1,1,1	-0.0353,0.7833,-0.0013,0.7006,268.1473,91.6359,1,1,1	-0.0698,0.4275,0.0561,0.2293,268.7827,106.5654,1,1,1	-0.098,0.1055,-0.0291,0.2326,253.5751,86.5527,1,1,1	-0.1272,0.0135,0.0715,359.4106,253.6585,351.8652,1,1,1	0.1132,0.7843,0.0067,354.6357,272.5707,89.637,1,1,1	0.1167,0.427,0.0521,355.5091,286.4278,105.3717,1,1,1	0.0966,0.1052,-0.0372,359.5217,306.559,90.0445,1,1,1	0.1617,0.0198,0.0517,1.5382,306.3572,348.5285,1,1,1	0.0386,0.9768,-0.0144,359.8459,87.855,284.0349,1,1,1	0.0379,1.1054,-0.0052,359.5009,88.8899,282.8922,1,1,1	0.0366,1.2341,0.0014,359.5009,88.8899,267.8922,1,1,1	0.0351,1.3262,0.0391,1.0575,101.4395,269.6418,1,1,1	0.0106,1.2339,0.001,292.698,48.8206,130.3032,1,1,1	-0.096,1.1667,-0.0126,289.537,316.3112,242.0731,1,1,1	-0.1281,0.9267,-0.0567,296.9905,338.6031,230.8009,1,1,1	-0.146,0.7661,-0.0584,19.0297,12.4156,184.3235,1,1,1	0.0626,1.2343,0.002,69.4411,132.8237,134.5652,1,1,1	0.1665,1.1623,-0.007,66.172,216.8655,227.2411,1,1,1	0.1972,0.9302,-0.083,62.6955,208.4857,228.6083,1,1,1	0.2165,0.7699,-0.0895,336.1392,171.4664,190.2364,1,1,1
0.5823,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0412,0.7834,0.0018,359.721,87.0494,268.8346,1,1,1	0.0411,0.8284,0.0008,359.7211,87.0497,273.7891,1,1,1	-0.033,0.7831,-0.002,0.4317,268.1003,91.7726,1,1,1	-0.0693,0.4276,0.0562,0.0152,268.8219,106.7546,1,1,1	-0.0987,0.1054,-0.028,0.174,253.7352,86.3039,1,1,1	-0.1276,0.013,0.0722,359.4033,253.8148,351.9084,1,1,1	0.1155,0.7838,0.0057,354.4184,272.8473,89.706,1,1,1	0.1179,0.4266,0.0516,355.2433,286.7746,105.3586,1,1,1	0.0959,0.1048,-0.0373,359.5936,306.6537,90.0476,1,1,1	0.1611,0.0194,0.0514,1.6258,306.4489,348.4411,1,1,1	0.0412,0.9765,-0.0152,-0.0025,88.0197,284.15,1,1,1	0.0408,1.105,-0.0058,359.6337,89.0877,283.0211,1,1,1	0.0399,1.2337,0.0011,359.6337,89.0877,268.0211,1,1,1	0.0387,1.3257,0.0391,1.2865,102.2434,270.1335,1,1,1	0.0139,1.2335,0.0008,292.8673,49.0672,130.299,1,1,1	-0.093,1.1667,-0.0125,289.5459,316.1013,241.6015,1,1,1	-0.125,0.9268,-0.0574,296.894,338.075,230.3684,1,1,1	-0.1434,0.7663,-0.0593,18.3526,11.6357,182.0569,1,1,1	0.0659,1.2339,0.0016,69.5275,133.6373,135.2477,1,1,1	0.1695,1.1614,-0.0078,66.0022,216.441,226.4045,1,1,1	0.2004,0.9299,-0.0853,62.5796,208.2785,228.0696,1,1,1	0.2202,0.7697,-0.0926,335.606,171.5592,190.4855,1,1,1
0.6363,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0428,0.7832,0.0023,359.7141,87.4089,268.8505,1,1,1	0.0426,0.8282,0.0013,359.7142,87.4091,273.805,1,1,1	-0.0315,0.7828,-0.001,0.4021,268.5291,91.533,1,1,1	-0.0674,0.4271,0.0559,359.9423,268.9437,106.5375,1,1,1	-0.0974,0.1053,-0.0294,0.0581,253.5134,87.1769,1,1,1	-0.1273,0.0145,0.072,359.2283,253.5887,352.4497,1,1,1	0.1171,0.7836,0.0057,354.2858,273.268,89.6223,1,1,1	0.1189,0.4262,0.0511,355.0689,287.1147,105.4104,1,1,1	0.0955,0.1043,-0.0371,359.6221,306.7211,90.1033,1,1,1	0.161,0.019,0.0516,1.6616,306.5168,348.4552,1,1,1	0.0426,0.9762,-0.0147,0.3737,88.3532,283.8657,1,1,1	0.0432,1.1048,-0.0059,359.8263,89.3175,282.9305,1,1,1	0.0427,1.2336,0.0009,359.8263,89.3175,267.9305,1,1,1	0.042,1.3256,0.0387,1.7041,103.0718,270.4674,1,1,1	0.0167,1.2335,0.0006,292.9762,49.688,129.8298,1,1,1	-0.0904,1.167,-0.0122,289.5602,316.3823,241.306,1,1,1	-0.1227,0.9272,-0.0575,296.8682,338.1652,230.2928,1,1,1	-0.1413,0.7667,-0.0593,17.6359,11.5506,180.494,1,1,1	0.0687,1.2336,0.0012,69.8153,134.1855,135.6181,1,1,1	0.1719,1.1606,-0.0084,65.8969,216.1789,225.7575,1,1,1	0.2029,0.9295,-0.0871,62.526,208.2269,227.6971,1,1,1	0.223,0.7694,-0.0948,335.0928,171.7018,190.9167,1,1,1
